Stations,CrW,CrR,NiW,NiR,CuW,CuR,AsW,AsR,CdW,CdR,PbW,PbR
S1(Dhaleshwari),106.58,92.69,34.35,19.18,69.95,40.34,9.12,7.96,4.43,2.66,105.9,50.73
S2(Dhaleshwari),104.28,88.4,27.1,17.21,75.12,41.56,13.79,9.88,3.82,2.97,96.14,38.9
S3(Dhaleshwari),89.77,66.92,59.33,37.52,71.13,49.47,26.17,15.48,2.95,2.1,77.36,32.79
S4(Dhaleshwari),71.55,55.56,49.17,26.08,92.34,69.77,25.35,18.77,2.36,1.79,90.48,43.4
S5(Dhaleshwari),100.15,64.5,50.68,30.62,100.22,73.19,28.37,20.96,2.1,1.45,79.1,53.55
S6(Dhaleshwari),86.2,60.35,23.32,11.72,189.14,98.28,14.2,10.42,1.5,0.82,63.44,37.88
S7(Dhaleshwari),105.53,69.37,22.18,14.95,112.23,96.72,21.37,19.88,1.36,0.97,40.55,33.47
S8(Turag),18.19,15.7,81.17,40.76,100.19,73.87,12.54,11.36,3.69,2.17,233.47,98.1
S9(Turag),17.16,12.74,85.22,39.43,105.64,87.2,14.23,10.78,5.14,3.6,250.11,170.4
S10(Turag),13.56,11.13,57.59,47.01,98.65,80.78,19.87,18.9,2.9,2.79,217.8,108.6
S11(Buriganga),93.3,74.47,71.63,49.94,177.37,141.4,12.81,9.88,7.1,5.56,259.1,155.4
S12(Buriganga),118.1,86.82,79.25,55.88,261.1,147.9,9.32,7.98,9.1,7.94,297.4,177.9
S13(Balu),17.11,10.37,39.41,29.73,75.15,56.47,7.49,6.67,2.31,1.96,64.1,35.98
S14(Balu),12.9,9.44,25.78,21.94,79.57,53.71,8.53,6.9,1.53,1.15,59.8,31.48
S15(Shitalakshya),80.03,51.37,28.1,16.78,105.2,71.89,20.68,15.71,9.11,8.7,96.87,76.52
S16(Shitalakshya),62.13,40.75,71.22,46.14,115.48,85.56,19.83,13.92,14.93,10.16,190.4,98.47
S17(Shitalakshya),58.8,44.82,69.53,50.63,169.29,91.33,21.77,15.84,12.7,9.42,210.65,95.44
