Stations,River,Lat,Long,geometry,hydro_dist_brick,num_brick_field,hydro_dist_ind,num_industry,CrR,NiR,CuR,AsR,CdR,PbR,MR,FeR,RI
S1,Dhaleshwari,23.91026,90.229845,POINT (0 0),0.001,1,0.001,1,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S2,Dhaleshwari,23.858227,90.240038,POINT (0 0),0.001,1,0.001,1,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S3,Dhaleshwari,23.802571,90.24539,POINT (0 0),0.001,1,0.001,1,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S4,Dhaleshwari,23.754298,90.246581,POINT (0 0),0.001,1,0.001,1,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S5,Dhaleshwari,23.702157,90.277077,POINT (0 0),0.001,1,0.001,1,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S6,Dhaleshwari,23.657826,90.317763,POINT (0 0),0.001,1,0.001,1,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S7,Dhaleshwari,23.628,90.388647,POINT (0 0),0.001,1,0.001,1,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.1106666666666666,0.1226666666666666,1.5586666666666666,0.4963333333333333,2.2256666666666667,0.7988218407148335
S8,Turag,23.877666,90.350573,POINT (0 0),0.001,1,0.001,1,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S9,Turag,23.826986,90.342201,POINT (0 0),0.001,1,0.001,1,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S10,Turag,23.792572,90.339601,POINT (0 0),0.001,1,0.001,1,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.1106666666666666,0.1226666666666666,1.5586666666666666,0.4963333333333333,2.2256666666666667,0.7988218407148335
S11,Buriganga,23.716059,90.359274,POINT (0 0),0.001,1,0.001,1,0.029,0.089,0.114,0.057,0.005,0.119,0.309,1.002,0.1239860403820899
S12,Buriganga,23.664709,90.451701,POINT (0 0),0.001,1,0.001,1,1.133,0.451,0.633,0.161,0.193,2.144,0.442,2.456,0.8975931028754439
S13,Balu,23.7640048,90.4825378,POINT (0 0),0.001,1,0.001,1,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S14,Balu,23.808202,90.484506,POINT (0 0),0.001,1,0.001,1,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S15,Shitalakshya,23.83271,90.548478,POINT (0 0),0.001,1,0.001,1,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S16,Shitalakshya,23.715818,90.504423,POINT (0 0),0.001,1,0.001,1,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S17,Shitalakshya,23.62842,90.514128,POINT (0 0),0.001,1,0.001,1,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.1106666666666666,0.1226666666666666,1.5586666666666666,0.4963333333333333,2.2256666666666667,0.7988218407148335
